Date,Interest
2020-01-01,77
2020-01-02,71
2020-01-03,60
2020-01-04,73
2020-01-05,70
2020-01-06,62
2020-01-07,48
2020-01-08,44
2020-01-09,46
2020-01-10,47
2020-01-11,59
2020-01-12,60
2020-01-13,44
2020-01-14,41
2020-01-15,44
2020-01-16,45
2020-01-17,49
2020-01-18,62
2020-01-19,60
2020-01-20,59
2020-01-21,50
2020-01-22,48
2020-01-23,45
2020-01-24,45
2020-01-25,56
2020-01-26,57
2020-01-27,39
2020-01-28,38
2020-01-29,39
2020-01-30,38
2020-01-31,41
2020-02-01,56
2020-02-02,59
2020-02-03,36
2020-02-04,40
2020-02-05,38
2020-02-06,40
2020-02-07,46
2020-02-08,56
2020-02-09,63
2020-02-10,46
2020-02-11,38
2020-02-12,37
2020-02-13,38
2020-02-14,42
2020-02-15,54
2020-02-16,59
2020-02-17,49
2020-02-18,40
2020-02-19,39
2020-02-20,37
2020-02-21,38
2020-02-22,48
2020-02-23,53
2020-02-24,41
2020-02-25,38
2020-02-26,40
2020-02-27,38
2020-02-28,41
2020-02-29,51
2020-03-01,55
2020-03-02,43
2020-03-03,37
2020-03-04,36
2020-03-05,37
2020-03-06,38
2020-03-07,47
2020-03-08,54
2020-03-09,41
2020-03-10,35
2020-03-11,36
2020-03-12,36
2020-03-13,44
2020-03-14,67
2020-03-15,71
2020-03-16,54
2020-03-17,60
2020-03-18,68
2020-03-19,70
2020-03-20,69
2020-03-21,92
2020-03-22,100
2020-03-23,69
2020-03-24,68
2020-03-25,68
2020-03-26,68
2020-03-27,72
2020-03-28,97
2020-03-29,99
2020-03-30,73
2020-03-31,69
2020-04-01,66
2020-04-02,66
2020-04-03,71
2020-04-04,87
2020-04-05,88
2020-04-06,57
2020-04-07,59
2020-04-08,59
2020-04-09,62
2020-04-10,68
2020-04-11,78
2020-04-12,81
2020-04-13,65
2020-04-14,53
2020-04-15,54
2020-04-16,59
2020-04-17,63
2020-04-18,77
2020-04-19,89
2020-04-20,71
2020-04-21,67
2020-04-22,69
2020-04-23,66
2020-04-24,70
2020-04-25,78
2020-04-26,82
2020-04-27,63
2020-04-28,56
2020-04-29,58
2020-04-30,59
2020-05-01,64
2020-05-02,77
2020-05-03,80
2020-05-04,61
2020-05-05,55
2020-05-06,57
2020-05-07,55
2020-05-08,60
2020-05-09,69
2020-05-10,70
2020-05-11,54
2020-05-12,55
2020-05-13,52
2020-05-14,53
2020-05-15,55
2020-05-16,62
2020-05-17,67
2020-05-18,52
2020-05-19,49
2020-05-20,50
2020-05-21,51
2020-05-22,52
2020-05-23,66
2020-05-24,70
2020-05-25,68
2020-05-26,53
2020-05-27,51
2020-05-28,47
2020-05-29,48
2020-05-30,54
2020-05-31,59
2020-06-01,44
2020-06-02,45
2020-06-03,47
2020-06-04,45
2020-06-05,47
2020-06-06,58
2020-06-07,62
2020-06-08,46
2020-06-09,49
2020-06-10,47
2020-06-11,49
2020-06-12,50
2020-06-13,59
2020-06-14,63
2020-06-15,49
2020-06-16,49
2020-06-17,44
2020-06-18,45
2020-06-19,44
2020-06-20,54
2020-06-21,55
2020-06-22,47
2020-06-23,48
2020-06-24,50
2020-06-25,47
2020-06-26,51
2020-06-27,60
2020-06-28,64
2020-06-29,50
2020-06-30,48
2020-07-01,58
2020-07-02,57
2020-07-03,62
2020-07-04,68
2020-07-05,69
2020-07-06,56
2020-07-07,55
2020-07-08,55
2020-07-09,51
2020-07-10,56
2020-07-11,64
2020-07-12,74
2020-07-13,54
2020-07-14,53
2020-07-15,49
2020-07-16,53
2020-07-17,57
2020-07-18,62
2020-07-19,68
2020-07-20,52
2020-07-21,50
2020-07-22,52
2020-07-23,53
2020-07-24,53
2020-07-25,62
2020-07-26,66
2020-07-27,54
2020-07-28,50
2020-07-29,51
2020-07-30,51
2020-07-31,52
2020-08-01,61
2020-08-02,67
2020-08-03,50
2020-08-04,51
2020-08-05,48
2020-08-06,46
2020-08-07,52
2020-08-08,60
2020-08-09,63
2020-08-10,50
2020-08-11,47
2020-08-12,48
2020-08-13,46
2020-08-14,51
2020-08-15,63
2020-08-16,66
2020-08-17,53
2020-08-18,45
